file_name,label,title,type,org_abbreviated,year,month,day,accessed_on,source
SNC_selfdescription,90_SNC,Profile of the SNC,self_description,SNC,12,,,160620,http://www.etilaf.org/%D9%85%D9%83%D9%88%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%A6%D8%AA%D9%84%D8%A7%D9%81/%D8%A7%D9%84%D9%85%D8%AC%D9%84%D8%B3-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A.html
SNDB_charter,91_SNDB,Founding of the SNDB,charter,SNDB,12,11,8,160822,http://all4syria.info/Archive/59272
SNDB_selfdescription,92_SNDB,Profile of SNDB,self_description,SNDB,12,,,160622,http://www.etilaf.org/%D9%85%D9%83%D9%88%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%A6%D8%AA%D9%84%D8%A7%D9%81/%D8%A7%D9%84%D9%83%D8%AA%D9%84-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9/%D8%A7%D9%84%D9%83%D8%AA%D9%84%D8%A9-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%AF%D9%8A%D9%85%D9%82%D8%B1%D8%A7%D8%B7%D9%8A%D8%A9.html
SNDC_charter,93_SNDC,Call to Our People,charter,SNDC,14,10,16,160623,http://twds.info/?p=17
SNDC_selfdescription,94_SNDC,Political Fundamentals at Opening Conference,self_description,SNDC,14,10,16,160623,http://twds.info/?p=43
SNTM_charter,95_SNTM,Founding Statement of the SNTM,charter,SNTM,14,3,7,160623,http://www.thparti.org/?l=YXJh&he=VFVSX1Nob3dOZXdz&id=NDU%3D
SNTM_selfdescription,96_SNTM,"Profile, Ideas and Program of the Party",self_description,SNTM,14,,,160822,http://www.thparti.org/?l=YXJh&he=VFVSX0Fib3V0
SOC_charter,97_SOC,Political Vision and Founding Principles of the SOC,charter,SOC,13,,,160505,http://www.etilaf.org/
SOC_selfdescription,98_SOC,Aims and Principles of the SOC,self_description,SOC,13,,,160505,http://www.etilaf.org/
SRF_charter,99_SRF,Founding Statement of the SRF,charter,SRF,13,12,10,160617,http://www.alarabiya.net/ar/arab-and-world/syria/2013/12/10/%D8%A7%D9%84%D8%AD%D8%B1-%D9%8A%D8%B4%D9%83%D9%84-%D8%A3%D9%88%D9%84-%D8%AA%D8%AD%D8%A7%D9%84%D9%81-%D8%B9%D8%B3%D9%83%D8%B1%D9%8A-%D8%AA%D8%AD%D8%AA-%D8%A7%D8%B3%D9%85-%D8%AC%D8%A8%D9%87%D8%A9-%D8%AB%D9%88%D8%A7%D8%B1-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-.html
STM_charter,100_STM,Political Principles,charter,STM,16,3,12,160822,http://www.alghadalsoury.com/2016/03/12/%D8%A7%D9%84%D8%B1%D8%A4%D9%8A%D8%A9-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9-%D9%84%D8%AA%D9%8A%D8%A7%D8%B1-%D8%A7%D9%84%D8%BA%D8%AF-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A/
STM_selfdescription,101_STM,STM: A new Movement for Syria’s Future,self_description,STM,16,3,11,160822,http://www.alghadalsoury.com/2016/03/11/%D8%A7%D9%84%D8%BA%D8%AF-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A-%D8%AA%D9%8A%D8%A7%D8%B1-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%84%D8%A3%D8%AC%D9%84-%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84-%D8%B3%D9%88%D8%B1/
SUA_charter,102_SUA,Aims of the Association,charter,SUA,16,,,161109,http://www.islamsyria.com/portal/page/show/2
SUA_selfdescription,103_SUA,Profile of the SUA,self_description,SUA,12,,,160622,http://www.etilaf.org/%D9%85%D9%83%D9%88%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%A6%D8%AA%D9%84%D8%A7%D9%81/%D8%B1%D8%A7%D8%A8%D8%B7%D8%A9-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D8%A7%D8%A1-%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%D9%8A%D9%86.html
TfS_charter,104_TfS,Our Ideals for the Syrian Transition,charter,TfS,11,7,,160822,http://alhiwaradimocraty.free.fr/20-08-2011-2.htm
TfS_selfdescription,105_TfS,Profile,self_description,TfS,12,,,160622,http://www.etilaf.org/%D9%85%D9%83%D9%88%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D8%A6%D8%AA%D9%84%D8%A7%D9%81/%D8%A7%D9%84%D9%83%D8%AA%D9%84-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9/%D8%AD%D8%B1%D9%83%D8%A9-%D9%85%D8%B9%D8%A7%D9%8B-%D9%85%D9%86-%D8%A3%D8%AC%D9%84-%D8%B3%D9%88%D8%B1%D9%8A%D8%A9-%D8%AD%D8%B1%D8%A9-%D9%88%D8%AF%D9%8A%D9%85%D9%82%D8%B1%D8%A7%D8%B7%D9%8A%D8%A9.html
TWB_charter,106_TWB,Founding of TWB,charter,TWB,12,10,11,170317,https://www.youtube.com/watch?v=QP8JVV7AzKA
YA_charter,107_YA,Establishment Political Bureau,charter,YA,15,10,11,180824,http://www.shaam.org/news/syria-news/1%D8%AC%D9%8A%D8%B4-%D8%A7%D9%84%D9%8A%D8%B1%D9%85%D9%88%D9%83-%D9%8A%D8%B4%D9%83%D9%84-%D9%85%D9%83%D8%AA%D8%A8%D8%A7-%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A%D8%A7-%D9%88%D9%8A%D8%AE%D8%AA%D8%A7%D8%B1-%D9%82%D8%A7%D8%A6%D8%AF%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A7.html
